time,x-acceleration,y-acceleration,z-acceleration
3.900,-0.240,0.049,1.234
3.920,-0.157,-0.393,2.000
3.940,-0.316,-0.403,1.805
3.960,-0.392,0.029,1.139
3.980,-0.198,0.180,1.132
4.000,-0.040,0.090,1.245
4.020,-0.055,0.029,1.120
4.040,-0.025,0.020,0.894
4.060,-0.017,0.037,0.675
4.080,-0.014,0.132,0.648
4.100,0.005,0.059,0.681
4.120,0.019,0.097,0.825
4.140,0.055,0.102,0.873
4.160,0.034,0.071,0.867
4.180,0.020,0.105,0.979
4.200,0.045,0.087,1.004
4.220,0.014,0.066,1.012
4.240,0.000,0.074,1.035
4.260,0.020,0.067,1.006
4.280,0.002,0.085,1.009
4.300,-0.008,0.101,1.039
4.320,0.001,0.077,0.999
4.340,0.026,0.087,0.932
4.360,0.032,0.125,0.848
4.380,0.029,0.108,0.665
4.400,0.041,0.109,0.347
4.420,0.016,0.181,0.184
4.440,-0.165,0.104,0.857
4.460,-0.174,-0.172,1.893
4.480,-0.258,-0.410,1.901
4.500,-0.372,-0.119,1.385
4.520,-0.197,0.185,1.202
4.540,-0.069,0.183,1.220
4.560,-0.063,0.048,1.124
4.580,-0.094,-0.004,0.974
4.600,-0.070,-0.009,0.713
4.620,-0.038,0.044,0.624
4.640,0.001,0.143,0.720
4.660,0.043,0.131,0.789
4.680,0.072,0.126,0.840
4.700,0.062,0.114,0.920
4.720,0.032,0.069,0.977
4.740,0.046,0.051,1.012
4.760,0.034,0.067,0.996
4.780,0.011,0.107,0.976
4.800,0.006,0.112,0.971
4.820,0.006,0.101,0.961
4.840,0.015,0.081,0.875
4.860,0.038,0.057,0.708
4.880,0.019,0.096,0.475
4.900,-0.057,0.184,0.375
4.920,-0.167,0.072,0.907
4.940,-0.132,-0.187,1.883
4.960,-0.227,-0.331,1.773
4.980,-0.290,-0.084,1.343
5.000,-0.207,0.099,1.206
5.020,-0.096,0.098,1.248
5.040,-0.082,0.055,1.178
5.060,-0.049,0.024,0.914
5.080,-0.014,0.004,0.656
5.100,-0.008,0.132,0.621
5.120,0.001,0.088,0.647
5.140,0.033,0.083,0.769
5.160,0.061,0.084,0.883
5.180,0.062,0.072,0.962
5.200,0.032,0.060,0.994
5.220,0.004,0.074,1.031
5.240,-0.007,0.088,1.040
5.260,-0.009,0.087,1.031
5.280,-0.009,0.087,1.054
5.300,0.004,0.083,1.037
5.320,0.024,0.075,0.953
5.340,0.030,0.111,0.840
5.360,0.037,0.112,0.666
5.380,0.038,0.086,0.564
5.400,0.039,0.084,0.614
5.420,-0.120,0.180,0.500
5.440,-0.132,0.025,0.843
5.460,-0.216,-0.079,1.799
5.480,-0.240,-0.307,1.969
5.500,-0.255,-0.185,1.412
5.520,-0.207,0.106,1.139
5.540,-0.123,0.153,1.144
5.560,-0.094,0.079,1.108
5.580,-0.044,0.011,0.911
5.600,-0.013,0.002,0.728
5.620,0.009,0.080,0.653
5.640,0.003,0.078,0.662
5.660,0.058,0.104,0.766
5.680,0.074,0.093,0.859
5.700,0.059,0.109,0.952
5.720,0.051,0.100,0.999
5.740,0.046,0.074,0.992
5.760,0.020,0.069,1.001
5.780,0.000,0.074,1.024
5.800,-0.001,0.093,1.071
5.820,0.008,0.089,1.067
5.840,0.021,0.085,1.029
5.860,0.036,0.086,0.973
5.880,0.042,0.098,0.906
5.900,0.037,0.098,0.774
5.920,0.007,0.100,0.547
5.940,-0.004,0.169,0.211
5.960,0.021,0.182,0.341
5.980,-0.064,-0.056,1.192
6.000,-0.204,-0.179,1.972
6.020,-0.240,-0.251,1.782
6.040,-0.276,-0.072,1.327
6.060,-0.232,0.060,1.165
6.080,-0.139,0.045,1.196
6.100,-0.090,0.033,1.169
6.120,-0.042,0.011,0.960
6.140,0.025,0.023,0.772
6.160,0.026,0.138,0.662
6.180,0.012,0.092,0.635
6.200,0.022,0.115,0.746
6.220,0.067,0.110,0.836
6.240,0.060,0.080,0.887
6.260,0.062,0.087,0.953
6.280,0.049,0.084,0.998
6.300,0.029,0.078,1.024
6.320,0.009,0.079,1.034
6.340,0.000,0.106,1.057
6.360,0.007,0.111,1.032
6.380,0.027,0.107,0.952
6.400,0.035,0.111,0.874
6.420,0.022,0.118,0.823
6.440,0.030,0.080,0.680
6.460,0.030,0.116,0.478
6.480,-0.006,0.187,0.396
6.500,-0.186,0.100,0.693
6.520,-0.184,-0.162,1.731
6.540,-0.134,-0.420,2.000
6.560,-0.273,-0.207,1.483
6.580,-0.292,0.079,1.074
6.600,-0.126,0.098,1.060
6.620,-0.069,0.085,1.106
6.640,-0.068,0.061,1.048
6.660,-0.031,0.019,0.836
6.680,-0.022,0.054,0.728
6.700,-0.013,0.109,0.726
6.720,0.022,0.050,0.763
6.740,0.035,0.064,0.834
6.760,0.052,0.072,0.882
